province_code,province_name,district_code,district_name,ward_code,ward_name,ward_type,full_address
89,An Giang,894,Thoại Sơn,30706,Định Mỹ,Xã,"Xã Định Mỹ, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30709,Định Thành,Xã,"Xã Định Thành, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30712,Mỹ Phú Đông,Xã,"Xã Mỹ Phú Đông, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30682,Núi Sập,Thị trấn,"Thị trấn Núi Sập, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30685,Phú Hoà,Thị trấn,"Thị trấn Phú Hoà, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30700,Phú Thuận,Xã,"Xã Phú Thuận, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30691,Tây Phú,Xã,"Xã Tây Phú, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30688,Thị Trấn Óc Eo,Thị trấn,"Thị trấn Thị Trấn Óc Eo, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30721,Thoại Giang,Xã,"Xã Thoại Giang, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30703,Vĩnh Chánh,Xã,"Xã Vĩnh Chánh, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30718,Vĩnh Khánh,Xã,"Xã Vĩnh Khánh, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30694,Vĩnh Phú,Xã,"Xã Vĩnh Phú, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30697,Vĩnh Trạch,Xã,"Xã Vĩnh Trạch, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30715,Vọng Đông,Xã,"Xã Vọng Đông, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,894,Thoại Sơn,30727,Vọng Thê,Xã,"Xã Vọng Thê, Huyện Thoại Sơn, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30526,An Cư,Xã,"Xã An Cư, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30538,An Hảo,Xã,"Xã An Hảo, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30529,An Nông,Xã,"Xã An Nông, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30514,An Phú,Phường,"Phường An Phú, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30505,Chi Lăng,Phường,"Phường Chi Lăng, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30502,Nhà Bàng,Phường,"Phường Nhà Bàng, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30511,Nhơn Hưng,Phường,"Phường Nhơn Hưng, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30508,Núi Voi,Phường,"Phường Núi Voi, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30541,Tân Lập,Xã,"Xã Tân Lập, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30535,Tân Lợi,Xã,"Xã Tân Lợi, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30517,Thới Sơn,Phường,"Phường Thới Sơn, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30520,Tịnh Biên,Phường,"Phường Tịnh Biên, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30523,Văn Giáo,Xã,"Xã Văn Giáo, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,890,Tịnh Biên,30532,Vĩnh Trung,Xã,"Xã Vĩnh Trung, Thị xã Tịnh Biên, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30577,An Tức,Xã,"Xã An Tức, Huyện Tri Tôn, Tỉnh An Giang"
89,An Giang,891,Tri Tôn,30547,Ba Chúc,Thị trấn,"Thị trấn Ba Chúc, Huyện Tri Tôn, Tỉnh An Giang"
