province_code,province_name,ward_code,ward_name,ward_type,full_address
24,Bắc Ninh,09349,Phật Tích,Xã,"Xã Phật Tích, Tỉnh Bắc Ninh"
24,Bắc Ninh,09379,Phù Khê,Phường,"Phường Phù Khê, Tỉnh Bắc Ninh"
24,Bắc Ninh,09292,Phù Lãng,Xã,"Xã Phù Lãng, Tỉnh Bắc Ninh"
24,Bắc Ninh,07330,Phúc Hòa,Xã,"Xã Phúc Hòa, Tỉnh Bắc Ninh"
24,Bắc Ninh,09265,Phương Liễu,Phường,"Phường Phương Liễu, Tỉnh Bắc Ninh"
24,Bắc Ninh,07612,Phượng Sơn,Phường,"Phường Phượng Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07333,Quang Trung,Xã,"Xã Quang Trung, Tỉnh Bắc Ninh"
24,Bắc Ninh,09247,Quế Võ,Phường,"Phường Quế Võ, Tỉnh Bắc Ninh"
24,Bắc Ninh,07534,Sa Lý,Xã,"Xã Sa Lý, Tỉnh Bắc Ninh"
24,Bắc Ninh,07615,Sơn Động,Xã,"Xã Sơn Động, Tỉnh Bắc Ninh"
24,Bắc Ninh,07543,Sơn Hải,Xã,"Xã Sơn Hải, Tỉnh Bắc Ninh"
24,Bắc Ninh,09433,Song Liễu,Phường,"Phường Song Liễu, Tỉnh Bắc Ninh"
24,Bắc Ninh,09208,Tam Đa,Xã,"Xã Tam Đa, Tỉnh Bắc Ninh"
24,Bắc Ninh,09202,Tam Giang,Xã,"Xã Tam Giang, Tỉnh Bắc Ninh"
24,Bắc Ninh,09370,Tam Sơn,Phường,"Phường Tam Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07264,Tam Tiến,Xã,"Xã Tam Tiến, Tỉnh Bắc Ninh"
24,Bắc Ninh,07682,Tân An,Phường,"Phường Tân An, Tỉnh Bắc Ninh"
24,Bắc Ninh,09343,Tân Chi,Xã,"Xã Tân Chi, Tỉnh Bắc Ninh"
24,Bắc Ninh,07432,Tân Dĩnh,Xã,"Xã Tân Dĩnh, Tỉnh Bắc Ninh"
24,Bắc Ninh,07531,Tân Sơn,Xã,"Xã Tân Sơn, Tỉnh Bắc Ninh"
